Ensembl Gene ID	Ensembl Transcript ID	Description
ENSONIG00000001243	ENSONIT00000001568	sprouty-related, EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]
ENSONIG00000001244	ENSONIT00000001569	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3 [Source:HGNC Symbol;Acc:HGNC:26105]
ENSONIG00000001245	ENSONIT00000001570	ARP2 actin-related protein 2b homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-050410-4]
ENSONIG00000001246	ENSONIT00000001571	tubulin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-040426-836]
ENSONIG00000001246	ENSONIT00000001572	tubulin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-040426-836]
ENSONIG00000001247	ENSONIT00000001573	electron-transferring-flavoprotein dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040912-168]
ENSONIG00000001248	ENSONIT00000001574	lectin, galactoside-binding-like b [Source:ZFIN;Acc:ZDB-GENE-030616-570]
ENSONIG00000001249	ENSONIT00000001575	zgc:101731 [Source:ZFIN;Acc:ZDB-GENE-040912-57]
ENSONIG00000001250	ENSONIT00000001576	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]
ENSONIG00000001251	ENSONIT00000001577	family with sequence similarity 134, member C [Source:ZFIN;Acc:ZDB-GENE-080520-1]
ENSONIG00000001252	ENSONIT00000001578	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]
ENSONIG00000001252	ENSONIT00000001579	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]
ENSONIG00000001253	ENSONIT00000001580	lefty1 [Source:ZFIN;Acc:ZDB-GENE-990630-10]
ENSONIG00000001254	ENSONIT00000001581	UDP-glucose pyrophosphorylase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-6352]
ENSONIG00000001254	ENSONIT00000001582	UDP-glucose pyrophosphorylase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-6352]
ENSONIG00000001255	ENSONIT00000001583	peptidylprolyl isomerase D [Source:ZFIN;Acc:ZDB-GENE-040625-34]
ENSONIG00000001256	ENSONIT00000001584	leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28370]
ENSONIG00000001257	ENSONIT00000001585	PSMC3 interacting protein [Source:ZFIN;Acc:ZDB-GENE-040625-125]
ENSONIG00000001258	ENSONIT00000001586	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001587}  [Source:UniProtKB/TrEMBL;Acc:I3IY97]
ENSONIG00000001259	ENSONIT00000001587	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001588}  [Source:UniProtKB/TrEMBL;Acc:I3IY98]
ENSONIG00000001260	ENSONIT00000001588	heterogeneous nuclear ribonucleoprotein Ub [Source:ZFIN;Acc:ZDB-GENE-030131-6422]
ENSONIG00000001261	ENSONIT00000001589	wu:fd14a06 [Source:ZFIN;Acc:ZDB-GENE-030131-5337]
ENSONIG00000001261	ENSONIT00000001590	wu:fd14a06 [Source:ZFIN;Acc:ZDB-GENE-030131-5337]
ENSONIG00000001262	ENSONIT00000001591	sp3a transcription factor [Source:ZFIN;Acc:ZDB-GENE-070410-111]
ENSONIG00000001263	ENSONIT00000001592	ribosomal protein S3 [Source:ZFIN;Acc:ZDB-GENE-030131-8494]
ENSONIG00000001264	ENSONIT00000001593	malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:HGNC:6970]
ENSONIG00000001265	ENSONIT00000001594	Obg-like ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5063]
ENSONIG00000001266	ENSONIT00000001595	Rap guanine nucleotide exchange factor (GEF) 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6959]
ENSONIG00000001266	ENSONIT00000001596	Rap guanine nucleotide exchange factor (GEF) 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6959]
ENSONIG00000001267	ENSONIT00000001597	MAX-like protein X [Source:ZFIN;Acc:ZDB-GENE-050522-316]
ENSONIG00000001268	ENSONIT00000001598	potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]
ENSONIG00000001269	ENSONIT00000001599	kinesin family member 26Bb [Source:ZFIN;Acc:ZDB-GENE-041001-188]
ENSONIG00000001270	ENSONIT00000001600	hm:zeh0619 [Source:ZFIN;Acc:ZDB-GENE-030131-53]
ENSONIG00000001271	ENSONIT00000001601	WD repeat containing planar cell polarity effector [Source:ZFIN;Acc:ZDB-GENE-100405-4]
ENSONIG00000001271	ENSONIT00000001602	WD repeat containing planar cell polarity effector [Source:ZFIN;Acc:ZDB-GENE-100405-4]
ENSONIG00000001272	ENSONIT00000001603	integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]
ENSONIG00000001272	ENSONIT00000001604	integrator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25048]
ENSONIG00000001273	ENSONIT00000001605	formin-like 1a [Source:ZFIN;Acc:ZDB-GENE-120215-83]
ENSONIG00000001274	ENSONIT00000001606	transformer 2 beta homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-1094]
ENSONIG00000001274	ENSONIT00000001607	transformer 2 beta homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-1094]
ENSONIG00000001275	ENSONIT00000001608	consortin, connexin sorting protein b [Source:ZFIN;Acc:ZDB-GENE-041001-189]
ENSONIG00000001276	ENSONIT00000001609	synaptosomal-associated protein, 25kDa [Source:HGNC Symbol;Acc:HGNC:11132]
ENSONIG00000001276	ENSONIT00000001610	synaptosomal-associated protein, 25kDa [Source:HGNC Symbol;Acc:HGNC:11132]
ENSONIG00000001277	ENSONIT00000001611	pericentrin [Source:ZFIN;Acc:ZDB-GENE-030829-26]
ENSONIG00000001277	ENSONIT00000001612	pericentrin [Source:ZFIN;Acc:ZDB-GENE-030829-26]
ENSONIG00000001278	ENSONIT00000001613	orthodenticle homolog 1b [Source:ZFIN;Acc:ZDB-GENE-980526-400]
ENSONIG00000001279	ENSONIT00000001614	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]
ENSONIG00000001280	ENSONIT00000001615	adipogenesis associated, Mth938 domain containing [Source:ZFIN;Acc:ZDB-GENE-050522-64]
ENSONIG00000001281	ENSONIT00000001616	EH domain binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-091006-4]
ENSONIG00000001282	ENSONIT00000001617	ankyrin repeat and EF-hand domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-196]
ENSONIG00000001282	ENSONIT00000001618	ankyrin repeat and EF-hand domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-196]
ENSONIG00000001283	ENSONIT00000001619	eukaryotic translation initiation factor 3, subunit K [Source:ZFIN;Acc:ZDB-GENE-050417-45]
ENSONIG00000001284	ENSONIT00000001620	calpain 12 [Source:HGNC Symbol;Acc:HGNC:13249]
ENSONIG00000001284	ENSONIT00000001621	calpain 12 [Source:HGNC Symbol;Acc:HGNC:13249]
ENSONIG00000001285	ENSONIT00000001622	ATG9 autophagy related 9 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-070209-65]
ENSONIG00000001286	ENSONIT00000001623	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001624}  [Source:UniProtKB/TrEMBL;Acc:I3IYD4]
ENSONIG00000001287	ENSONIT00000001624	follistatin-like 5 [Source:ZFIN;Acc:ZDB-GENE-070127-1]
ENSONIG00000001288	ENSONIT00000001625	wingless-type MMTV integration site family, member 9B [Source:ZFIN;Acc:ZDB-GENE-080201-1]
ENSONIG00000001289	ENSONIT00000001626	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001628}  [Source:UniProtKB/TrEMBL;Acc:I3IYD8]
ENSONIG00000001289	ENSONIT00000001627	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001628}  [Source:UniProtKB/TrEMBL;Acc:I3IYD8]
ENSONIG00000001290	ENSONIT00000001628	elastin microfibril interfacer 1a [Source:ZFIN;Acc:ZDB-GENE-041001-191]
ENSONIG00000001291	ENSONIT00000001629	golgi SNAP receptor complex member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3290]
ENSONIG00000001292	ENSONIT00000001630	G patch domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-030131-6966]
ENSONIG00000001292	ENSONIT00000001631	G patch domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-030131-6966]
ENSONIG00000001293	ENSONIT00000001632	stathmin-like 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2732]
ENSONIG00000001294	ENSONIT00000001633	interleukin 17a/f3 [Source:ZFIN;Acc:ZDB-GENE-041001-192]
ENSONIG00000001295	ENSONIT00000001634	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-4]
ENSONIG00000001295	ENSONIT00000001635	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-4]
ENSONIG00000001296	ENSONIT00000001636	quinoid dihydropteridine reductase a [Source:ZFIN;Acc:ZDB-GENE-070705-197]
ENSONIG00000001297	ENSONIT00000001637	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]
ENSONIG00000001298	ENSONIT00000001638	myosin X-like 1 [Source:ZFIN;Acc:ZDB-GENE-080425-1]
ENSONIG00000001299	ENSONIT00000001639	bcl2-associated X protein, a [Source:ZFIN;Acc:ZDB-GENE-000511-6]
ENSONIG00000001300	ENSONIT00000001640	ribosomal protein S11 [Source:ZFIN;Acc:ZDB-GENE-040426-2701]
ENSONIG00000001301	ENSONIT00000001641	LIM-domain binding factor 2a [Source:ZFIN;Acc:ZDB-GENE-990415-136]
ENSONIG00000001302	ENSONIT00000001642	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]
ENSONIG00000001303	ENSONIT00000001643	zinc finger protein 395b [Source:ZFIN;Acc:ZDB-GENE-041001-193]
ENSONIG00000001304	ENSONIT00000001644	lunatic fringe homolog [Source:ZFIN;Acc:ZDB-GENE-980605-16]
ENSONIG00000001304	ENSONIT00000001645	lunatic fringe homolog [Source:ZFIN;Acc:ZDB-GENE-980605-16]
ENSONIG00000001305	ENSONIT00000001646	prepronociceptin b [Source:ZFIN;Acc:ZDB-GENE-040114-1]
ENSONIG00000001306	ENSONIT00000001647	si:ch211-63o20.7 [Source:ZFIN;Acc:ZDB-GENE-041001-194]
ENSONIG00000001307	ENSONIT00000001648	elongation protein 3 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050327-35]
ENSONIG00000001308	ENSONIT00000001649	prominin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1577]
ENSONIG00000001308	ENSONIT00000001650	prominin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1577]
ENSONIG00000001309	ENSONIT00000001651	tweety homolog 3a (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-120508-1]
ENSONIG00000001310	ENSONIT00000001652	family with sequence similarity 96, member B [Source:ZFIN;Acc:ZDB-GENE-040718-148]
ENSONIG00000001311	ENSONIT00000001653	kinesin family member 13Bb [Source:ZFIN;Acc:ZDB-GENE-090908-5]
ENSONIG00000001311	ENSONIT00000001654	kinesin family member 13Bb [Source:ZFIN;Acc:ZDB-GENE-090908-5]
ENSONIG00000001312	ENSONIT00000001655	SMT3 suppressor of mif two 3 homolog 3b [Source:ZFIN;Acc:ZDB-GENE-040718-426]
ENSONIG00000001313	ENSONIT00000001656	WAS/WASL interacting protein family, member 1 [Source:ZFIN;Acc:ZDB-GENE-110815-1]
ENSONIG00000001313	ENSONIT00000001657	WAS/WASL interacting protein family, member 1 [Source:ZFIN;Acc:ZDB-GENE-110815-1]
ENSONIG00000001313	ENSONIT00000001658	WAS/WASL interacting protein family, member 1 [Source:ZFIN;Acc:ZDB-GENE-110815-1]
ENSONIG00000001314	ENSONIT00000001659	sorting nexin 8a [Source:ZFIN;Acc:ZDB-GENE-031202-1]
ENSONIG00000001315	ENSONIT00000001660	thrombospondin-type laminin G domain and EAR repeats a [Source:ZFIN;Acc:ZDB-GENE-120215-12]
ENSONIG00000001315	ENSONIT00000001661	thrombospondin-type laminin G domain and EAR repeats a [Source:ZFIN;Acc:ZDB-GENE-120215-12]
ENSONIG00000001316	ENSONIT00000001662	actinin, alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
ENSONIG00000001316	ENSONIT00000001663	actinin, alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
ENSONIG00000001317	ENSONIT00000001664	G protein-coupled receptor 155b [Source:ZFIN;Acc:ZDB-GENE-110815-2]
ENSONIG00000001318	ENSONIT00000001665	ubiquitin specific peptidase 40 [Source:ZFIN;Acc:ZDB-GENE-060518-5]
ENSONIG00000001318	ENSONIT00000001666	ubiquitin specific peptidase 40 [Source:ZFIN;Acc:ZDB-GENE-060518-5]
ENSONIG00000001319	ENSONIT00000001667	nudix (nucleoside diphosphate linked moiety X)-type motif 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2757]
ENSONIG00000001320	ENSONIT00000001668	transmembrane protein 41ab [Source:ZFIN;Acc:ZDB-GENE-040426-2050]
ENSONIG00000001320	ENSONIT00000001669	transmembrane protein 41ab [Source:ZFIN;Acc:ZDB-GENE-040426-2050]
ENSONIG00000001321	ENSONIT00000001670	FtsJ RNA methyltransferase homolog 2 (E. coli) [Source:HGNC Symbol;Acc:HGNC:16352]
ENSONIG00000001322	ENSONIT00000001671	proteasome (prosome, macropain) assembly chaperone 3 [Source:ZFIN;Acc:ZDB-GENE-040718-262]
ENSONIG00000001323	ENSONIT00000001672	transmembrane protein 184a [Source:ZFIN;Acc:ZDB-GENE-040426-2925]
ENSONIG00000001324	ENSONIT00000001673	cadherin 5 [Source:ZFIN;Acc:ZDB-GENE-040816-1]
ENSONIG00000001325	ENSONIT00000001674	fibroblast growth factor binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-030131-8319]
ENSONIG00000001326	ENSONIT00000001675	fatty acid binding protein 7, brain, a [Source:ZFIN;Acc:ZDB-GENE-000627-1]
ENSONIG00000001327	ENSONIT00000001676	annexin A5a [Source:ZFIN;Acc:ZDB-GENE-080220-29]
ENSONIG00000001328	ENSONIT00000001677	homeobox containing 1 b [Source:ZFIN;Acc:ZDB-GENE-090908-4]
ENSONIG00000001329	ENSONIT00000001678	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian) [Source:ZFIN;Acc:ZDB-GENE-040624-9]
ENSONIG00000001330	ENSONIT00000001679	dispatched homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030911-7]
ENSONIG00000001331	ENSONIT00000001680	integrator complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6523]
ENSONIG00000001332	ENSONIT00000001681	metaxin 2 [Source:ZFIN;Acc:ZDB-GENE-021210-2]
ENSONIG00000001333	ENSONIT00000001682	toll-like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]
ENSONIG00000001333	ENSONIT00000001683	toll-like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]
ENSONIG00000001334	ENSONIT00000001684	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001685}  [Source:UniProtKB/TrEMBL;Acc:I3IYJ5]
ENSONIG00000001335	ENSONIT00000001685	FYN oncogene related to SRC, FGR, YES a [Source:ZFIN;Acc:ZDB-GENE-030903-5]
ENSONIG00000001336	ENSONIT00000001686	BRO1 domain and CAAX motif containing [Source:ZFIN;Acc:ZDB-GENE-041114-137]
ENSONIG00000001337	ENSONIT00000001687	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001688}  [Source:UniProtKB/TrEMBL;Acc:I3IYJ8]
ENSONIG00000001338	ENSONIT00000001688	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]
ENSONIG00000001339	ENSONIT00000001689	myristoylated alanine rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]
ENSONIG00000001340	ENSONIT00000001690	collagen, type X, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8373]
ENSONIG00000001340	ENSONIT00000001691	collagen, type X, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8373]
ENSONIG00000001341	ENSONIT00000001692	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001693}  [Source:UniProtKB/TrEMBL;Acc:I3IYK3]
ENSONIG00000001342	ENSONIT00000001693	si:ch211-266g18.9 [Source:ZFIN;Acc:ZDB-GENE-131127-382]
ENSONIG00000001343	ENSONIT00000001694	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001695}  [Source:UniProtKB/TrEMBL;Acc:I3IYK5]
ENSONIG00000001343	ENSONIT00000001695	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001695}  [Source:UniProtKB/TrEMBL;Acc:I3IYK5]
ENSONIG00000001344	ENSONIT00000001696	meprin A, alpha, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041001-209]
ENSONIG00000001344	ENSONIT00000001697	meprin A, alpha, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041001-209]
ENSONIG00000001345	ENSONIT00000001698	solute carrier family 8 (sodium-calcium exchanger), member 2b [Source:ZFIN;Acc:ZDB-GENE-050419-209]
ENSONIG00000001346	ENSONIT00000001699	limb and neural patterns b [Source:ZFIN;Acc:ZDB-GENE-030131-9455]
ENSONIG00000001347	ENSONIT00000001700	four and a half LIM domains 5 [Source:ZFIN;Acc:ZDB-GENE-040822-3]
ENSONIG00000001348	ENSONIT00000001701	si:dkey-43p13.5 [Source:ZFIN;Acc:ZDB-GENE-131121-510]
ENSONIG00000001349	ENSONIT00000001702	mical-like 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5409]
ENSONIG00000001350	ENSONIT00000001703	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001704}  [Source:UniProtKB/TrEMBL;Acc:I3IYL4]
ENSONIG00000001351	ENSONIT00000001704	mannosidase, endo-alpha [Source:ZFIN;Acc:ZDB-GENE-040912-87]
ENSONIG00000001352	ENSONIT00000001705	UNC homeobox [Source:ZFIN;Acc:ZDB-GENE-080509-1]
ENSONIG00000001353	ENSONIT00000001706	cholinergic receptor, nicotinic, alpha polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-980526-137]
ENSONIG00000001354	ENSONIT00000001707	Bardet-Biedl syndrome 7 [Source:ZFIN;Acc:ZDB-GENE-030219-90]
ENSONIG00000001355	ENSONIT00000001708	zinc finger, AN1-type domain 2A [Source:ZFIN;Acc:ZDB-GENE-040426-1596]
ENSONIG00000001356	ENSONIT00000001709	protein phosphatase 1, catalytic subunit, beta isoform [Source:ZFIN;Acc:ZDB-GENE-030616-609]
ENSONIG00000001357	ENSONIT00000001710	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001711}  [Source:UniProtKB/TrEMBL;Acc:I3IYM1]
ENSONIG00000001358	ENSONIT00000001711	yippee-like 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1220]
ENSONIG00000001359	ENSONIT00000001712	si:ch73-52e11.1 [Source:ZFIN;Acc:ZDB-GENE-131121-48]
ENSONIG00000001360	ENSONIT00000001713	serine/arginine-rich splicing factor 7a [Source:ZFIN;Acc:ZDB-GENE-040426-1798]
ENSONIG00000001360	ENSONIT00000001714	serine/arginine-rich splicing factor 7a [Source:ZFIN;Acc:ZDB-GENE-040426-1798]
ENSONIG00000001360	ENSONIT00000001715	serine/arginine-rich splicing factor 7a [Source:ZFIN;Acc:ZDB-GENE-040426-1798]
ENSONIG00000001361	ENSONIT00000001716	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]
ENSONIG00000001362	ENSONIT00000001717	axin 1 [Source:ZFIN;Acc:ZDB-GENE-000403-1]
ENSONIG00000001362	ENSONIT00000001718	axin 1 [Source:ZFIN;Acc:ZDB-GENE-000403-1]
ENSONIG00000001363	ENSONIT00000001719	transmembrane protein 33 [Source:ZFIN;Acc:ZDB-GENE-030131-5425]
ENSONIG00000001364	ENSONIT00000001720	cadherin 11, osteoblast [Source:ZFIN;Acc:ZDB-GENE-980526-170]
ENSONIG00000001365	ENSONIT00000001721	limb bud and heart development [Source:HGNC Symbol;Acc:HGNC:29532]
ENSONIG00000001366	ENSONIT00000001722	bone morphogenetic protein 4 [Source:ZFIN;Acc:ZDB-GENE-980528-2059]
ENSONIG00000001367	ENSONIT00000001723	DDHD domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-111020-16]
ENSONIG00000001367	ENSONIT00000001724	DDHD domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-111020-16]
ENSONIG00000001368	ENSONIT00000001725	phospholipase A2, group X [Source:HGNC Symbol;Acc:HGNC:9029]
ENSONIG00000001369	ENSONIT00000001726	paired-like homeobox 2bb [Source:ZFIN;Acc:ZDB-GENE-050407-3]
ENSONIG00000001370	ENSONIT00000001727	V-set and transmembrane domain containing 5 [Source:HGNC Symbol;Acc:HGNC:34443]
ENSONIG00000001370	ENSONIT00000001728	V-set and transmembrane domain containing 5 [Source:HGNC Symbol;Acc:HGNC:34443]
ENSONIG00000001371	ENSONIT00000001729	LIM and calponin homology domains 1b [Source:ZFIN;Acc:ZDB-GENE-030131-9210]
ENSONIG00000001372	ENSONIT00000001730	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]
ENSONIG00000001373	ENSONIT00000001731	zinc finger CCCH-type containing 7A [Source:ZFIN;Acc:ZDB-GENE-040426-2776]
ENSONIG00000001373	ENSONIT00000001732	zinc finger CCCH-type containing 7A [Source:ZFIN;Acc:ZDB-GENE-040426-2776]
ENSONIG00000001374	ENSONIT00000001733	fermitin family homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-050506-132]
ENSONIG00000001375	ENSONIT00000001734	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001735}  [Source:UniProtKB/TrEMBL;Acc:I3IYP5]
ENSONIG00000001376	ENSONIT00000001735	gon-4-like (C.elegans) [Source:ZFIN;Acc:ZDB-GENE-070117-2447]
ENSONIG00000001377	ENSONIT00000001736	ladybird homeobox homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-001206-2]
ENSONIG00000001378	ENSONIT00000001737	polycomb group ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-030616-605]
ENSONIG00000001379	ENSONIT00000001738	minichromosome maintenance complex component 8 [Source:ZFIN;Acc:ZDB-GENE-120927-1]
ENSONIG00000001379	ENSONIT00000001739	minichromosome maintenance complex component 8 [Source:ZFIN;Acc:ZDB-GENE-120927-1]
ENSONIG00000001380	ENSONIT00000001740	RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]
ENSONIG00000001380	ENSONIT00000001741	RecQ mediated genome instability 2 [Source:HGNC Symbol;Acc:HGNC:28349]
ENSONIG00000001381	ENSONIT00000001742	ubiquitin family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050506-90]
ENSONIG00000001382	ENSONIT00000001743	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001744}  [Source:UniProtKB/TrEMBL;Acc:I3IYQ4]
ENSONIG00000001383	ENSONIT00000001744	transmembrane protein 79b [Source:ZFIN;Acc:ZDB-GENE-120807-1]
ENSONIG00000001384	ENSONIT00000001745	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]
ENSONIG00000001384	ENSONIT00000001746	Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:HGNC:682]
ENSONIG00000001385	ENSONIT00000001747	fibroblast growth factor 24 [Source:ZFIN;Acc:ZDB-GENE-030708-1]
ENSONIG00000001386	ENSONIT00000001748	lysine (K)-specific demethylase 8 [Source:ZFIN;Acc:ZDB-GENE-040718-411]
ENSONIG00000001387	ENSONIT00000001749	gap junction protein, delta 2, 36kDa [Source:HGNC Symbol;Acc:HGNC:19154]
ENSONIG00000001388	ENSONIT00000001750	heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-070202-8]
ENSONIG00000001389	ENSONIT00000001751	actin, alpha, cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]
ENSONIG00000001390	ENSONIT00000001752	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070202-7]
ENSONIG00000001390	ENSONIT00000001753	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070202-7]
ENSONIG00000001391	ENSONIT00000001754	phospholipase C, beta 1 (phosphoinositide-specific) [Source:HGNC Symbol;Acc:HGNC:15917]
ENSONIG00000001391	ENSONIT00000001755	phospholipase C, beta 1 (phosphoinositide-specific) [Source:HGNC Symbol;Acc:HGNC:15917]
ENSONIG00000001392	ENSONIT00000001756	ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]
ENSONIG00000001392	ENSONIT00000001757	ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]
ENSONIG00000001393	ENSONIT00000001758	zinc finger, CCHC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]
ENSONIG00000001394	ENSONIT00000001759	family with sequence similarity 222, member Bb [Source:ZFIN;Acc:ZDB-GENE-110419-4]
ENSONIG00000001395	ENSONIT00000001760	aquarius homolog (mouse) [Source:ZFIN;Acc:ZDB-GENE-040426-1189]
ENSONIG00000001396	ENSONIT00000001761	flotillin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1368]
ENSONIG00000001397	ENSONIT00000001762	nucleophosmin/nucleoplasmin, 1b [Source:ZFIN;Acc:ZDB-GENE-080723-7]
ENSONIG00000001398	ENSONIT00000001763	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001764}  [Source:UniProtKB/TrEMBL;Acc:I3IYS4]
ENSONIG00000001399	ENSONIT00000001764	BAI1-associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-130530-863]
ENSONIG00000001400	ENSONIT00000001765	DPH6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050227-15]
ENSONIG00000001400	ENSONIT00000001766	DPH6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050227-15]
ENSONIG00000001401	ENSONIT00000001767	myosin VIIAa [Source:ZFIN;Acc:ZDB-GENE-020709-1]
ENSONIG00000001402	ENSONIT00000001768	T-cell leukemia, homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-020208-1]
ENSONIG00000001403	ENSONIT00000001769	myeloid ecotropic viral integration site 2a [Source:ZFIN;Acc:ZDB-GENE-020122-2]
ENSONIG00000001404	ENSONIT00000001770	phosphomevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-070410-91]
ENSONIG00000001405	ENSONIT00000001771	adenosine deaminase domain containing 1 (testis-specific) [Source:HGNC Symbol;Acc:HGNC:30713]
ENSONIG00000001406	ENSONIT00000001772	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001773}  [Source:UniProtKB/TrEMBL;Acc:I3IYT3]
ENSONIG00000001407	ENSONIT00000001773	2,4-dienoyl CoA reductase 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-142]
ENSONIG00000001408	ENSONIT00000001774	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000001775}  [Source:UniProtKB/TrEMBL;Acc:I3IYT5]
